Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 96.88      9.93     9.93     1687     5.89     5.89  LZ4_compress_fast_extState(void*, char const*, char*, int, int, int)
  1.56     10.09     0.16 16853126     0.00     0.00  TaskBuilder::copyRequestWithId(char*, std::basic_string_view<char, std::char_traits<char> >)
  0.78     10.17     0.08     1651     0.05     6.16  TaskBuilder::createSubtask()
  0.39     10.21     0.04     1685     0.02     0.02  LZ4_decompress_safe(char const*, char*, int, int)
  0.20     10.23     0.02                             _init
  0.10     10.24     0.01     1633     0.01     0.01  Runnable::killThread() const
  0.10     10.25     0.01                             std::basic_syncbuf<char, std::char_traits<char>, std::allocator<char> >::xsputn(char const*, long)
  0.00     10.25     0.00     4861     0.00     0.00  std::filesystem::__cxx11::path::path<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::filesystem::__cxx11::path>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::filesystem::__cxx11::path::format)
  0.00     10.25     0.00     3396     0.00     0.00  std::basic_syncbuf<char, std::char_traits<char>, std::allocator<char> >::basic_syncbuf(std::basic_streambuf<char, std::char_traits<char> >*, std::allocator<char> const&)
  0.00     10.25     0.00     3395     0.00     0.00  std::basic_syncbuf<char, std::char_traits<char>, std::allocator<char> >::emit()
  0.00     10.25     0.00     3395     0.00     0.00  std::basic_syncbuf<char, std::char_traits<char>, std::allocator<char> >::~basic_syncbuf()
  0.00     10.25     0.00     3395     0.00     0.00  std::basic_osyncstream<char, std::char_traits<char>, std::allocator<char> >::basic_osyncstream(std::basic_streambuf<char, std::char_traits<char> >*)
  0.00     10.25     0.00     3391     0.00     0.00  Logger::Logger(LOG_LEVEL, std::ostream&, bool)
  0.00     10.25     0.00     3380     0.00     0.00  _ZNK7utility9fromCharsMUlTySt17basic_string_viewIcSt11char_traitsIcEERT_E_clImEEDaS4_S6_
  0.00     10.25     0.00     3376     0.00     0.00  std::__future_base::_State_baseV2::~_State_baseV2()
  0.00     10.25     0.00     3376     0.00     0.00  std::__future_base::_Result<void>::_M_destroy()
  0.00     10.25     0.00     3376     0.00     0.00  std::__future_base::_Result<void>::~_Result()
  0.00     10.25     0.00     3376     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_State_baseV2, std::allocator<std::__future_base::_State_baseV2>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     10.25     0.00     3376     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_State_baseV2, std::allocator<std::__future_base::_State_baseV2>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     10.25     0.00     3376     0.00     0.00  std::promise<void>::~promise()
  0.00     10.25     0.00     3372     0.00     0.00  MemoryPool::getFirstBuffer(unsigned long)
