Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 96.60      8.52     8.52     1481     0.01     0.01  LZ4_compress_fast_extState(void*, char const*, char*, int, int, int)
  1.59      8.66     0.14 14793670     0.00     0.00  TaskBuilder::copyRequestWithId(char*, std::basic_string_view<char, std::char_traits<char> >)
  1.02      8.75     0.09     1480     0.00     0.01  TaskBuilder::createSubtask()
  0.45      8.79     0.04     1479     0.00     0.00  LZ4_decompress_safe(char const*, char*, int, int)
  0.23      8.81     0.02                             _init
  0.11      8.82     0.01     1479     0.00     0.00  tcp::TcpClient::send(std::vector<char, std::allocator<char> > const&)
  0.00      8.82     0.00    15825     0.00     0.00  boost::asio::detail::socket_ops::sync_send1(int, unsigned char, void const*, unsigned long, int, boost::system::error_code&)
  0.00      8.82     0.00     2976     0.00     0.00  void utility::toChars<unsigned long>(unsigned long, char*, unsigned long)
  0.00      8.82     0.00     2968     0.00     0.00  _ZNK7utility9fromCharsMUlTySt17basic_string_viewIcSt11char_traitsIcEERT_E_clImEEDaS4_S6_
  0.00      8.82     0.00     2962     0.00     0.00  std::__future_base::_State_baseV2::~_State_baseV2()
  0.00      8.82     0.00     2962     0.00     0.00  std::__future_base::_Result<void>::_M_destroy()
  0.00      8.82     0.00     2962     0.00     0.00  std::__future_base::_Result<void>::~_Result()
  0.00      8.82     0.00     2962     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_State_baseV2, std::allocator<std::__future_base::_State_baseV2>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      8.82     0.00     2962     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_State_baseV2, std::allocator<std::__future_base::_State_baseV2>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      8.82     0.00     2962     0.00     0.00  std::promise<void>::~promise()
  0.00      8.82     0.00     2962     0.00     0.00  void std::_Construct<Subtask>(Subtask*)
  0.00      8.82     0.00     2960     0.00     0.00  MemoryPool::getFirstBuffer(unsigned long)
  0.00      8.82     0.00     2960     0.00     0.00  MemoryPool::instance()
  0.00      8.82     0.00     2958     0.00     0.00  utility::displayStatus(STATUS)
  0.00      8.82     0.00     2830     0.00     0.00  boost::asio::detail::socket_ops::sync_recv1(int, unsigned char, void*, unsigned long, int, boost::system::error_code&)
  0.00      8.82     0.00     1503     0.00     0.00  std::basic_syncbuf<char, std::char_traits<char>, std::allocator<char> >::basic_syncbuf(std::basic_streambuf<char, std::char_traits<char> >*, std::allocator<char> const&)
